id,favourites_count,followers_count,friends_count,listed_count,statuses_count,label,default_profile,default_profile_image,verified,arousal mean,arousal std,arousal min,arousal 25%,arousal 50%,arousal 75%,arousal max,compound mean,compound std,compound min,compound 25%,compound 50%,compound 75%,compound max,dominance mean,dominance std,dominance min,dominance 25%,dominance 50%,dominance 75%,dominance max,neg mean,neg std,neg min,neg 25%,neg 50%,neg 75%,neg max,neu mean,neu std,neu min,neu 25%,neu 50%,neu 75%,neu max,pos mean,pos std,pos min,pos 25%,pos 50%,pos 75%,pos max,valence mean,valence std,valence min,valence 25%,valence 50%,valence 75%,valence max,compound_mv,neg_mv,neu_mv,pos_mv,dominance_mv,interarrival_mean,interarrival_std_dev,favourites_count_mv,followers_count_mv,friends_count_mv,listed_count_mv,statuses_count_mv,label_mv,default_profile_mv,default_profile_image_mv,verified_mv,arousal mean_mv,arousal std_mv,arousal min_mv,arousal 25%_mv,arousal 50%_mv,arousal 75%_mv,arousal max_mv,compound mean_mv,compound std_mv,compound min_mv,compound 25%_mv,compound 50%_mv,compound 75%_mv,compound max_mv,dominance mean_mv,dominance std_mv,dominance min_mv,dominance 25%_mv,dominance 50%_mv,dominance 75%_mv,dominance max_mv,neg mean_mv,neg std_mv,neg min_mv,neg 25%_mv,neg 50%_mv,neg 75%_mv,neg max_mv,neu mean_mv,neu std_mv,neu min_mv,neu 25%_mv,neu 50%_mv,neu 75%_mv,neu max_mv,pos mean_mv,pos std_mv,pos min_mv,pos 25%_mv,pos 50%_mv,pos 75%_mv,pos max_mv,valence mean_mv,valence std_mv,valence min_mv,valence 25%_mv,valence 50%_mv,valence 75%_mv,valence max_mv,compound_mv_mv,neg_mv_mv,neu_mv_mv,pos_mv_mv,dominance_mv_mv,interarrival_mean_mv,interarrival_std_dev_mv
3098421349,73,265,883,5,1594,1,True,False,False,-0.2016906661979528,0.19219916201048934,-0.6375617792421746,-0.3173500085382953,-0.22167661573747174,-0.10430895899352766,0.7100494233937398,0.3082274999999999,0.376511354802516,-0.7666,0.0,0.4215,0.614275,0.9169,0.33404188686136843,0.1696844652090751,-0.3885290731145654,0.2377701131336657,0.3297854215118958,0.4494581921592761,0.7604166666666667,0.027810000000000005,0.090096787152908,0.0,0.0,0.0,0.0,0.615,0.7979799999999999,0.1637990851668822,0.385,0.68425,0.7795000000000001,1.0,1.0,0.1742100000000001,0.16109729230480474,0.0,0.0,0.16399999999999998,0.30625,0.523,0.4024373511576283,0.18456180110975584,-0.6625172890733056,0.3106210401884449,0.413554633471646,0.5071744399298692,0.983402489626556,0.0,0.0,0.0,0.0,3.0,56770.61809045226,67115.33153992046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554067867,2936,34,1689,18,5762,1,True,False,False,-0.15239928593264193,0.16624033121249052,-0.5947281713344317,-0.2482282547279449,-0.1762287589153262,-0.03514499383488473,0.4038689515786613,0.265697,0.3837532972585168,-0.7666,0.0,0.0,0.6199,0.9313,0.2551433318237972,0.15950288646250516,-0.1805555555555556,0.15312138650846996,0.24048508753570366,0.3598940141870569,0.599892506142506,0.02072,0.054605866012866135,0.0,0.0,0.0,0.0,0.311,0.848975,0.15042059751170692,0.442,0.71475,0.8654999999999999,1.0,1.0,0.13030999999999998,0.14653500070686465,0.0,0.0,0.0965,0.247,0.5579999999999999,0.3574284490299555,0.16332710707755266,-0.24371689774989025,0.2634376969875683,0.3519757350818824,0.4815878777377494,0.8533886583679116,0.0,0.0,0.0,0.0,17.0,12150.78391959799,15781.264917952418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256597786,10,168,475,3,1184,1,True,False,False,-0.1341137316495442,0.13113334165120838,-0.5652486989537078,-0.2066036519008864,-0.14799815672436845,-0.05050511408614089,0.2981878088962109,0.4512441340782121,0.40780173995295305,-0.7559,0.0,0.5859,0.7935,0.9673,0.32071067842319306,0.17973681061317107,-0.021471797529640124,0.21296488999149252,0.3011092257415784,0.4278545036930408,0.9861111111111108,0.01738547486033519,0.050811858422757525,0.0,0.0,0.0,0.0,0.249,0.7576480446927376,0.1732687855926798,0.34600000000000003,0.643,0.747,0.8805000000000001,1.0,0.22496089385474868,0.17875271234301046,0.0,0.0,0.239,0.345,0.654,0.3340570204755365,0.13974908346751586,-0.03371150966883385,0.2383997832682765,0.3260170459513405,0.4297106693186403,0.825008964704677,0.0,0.0,0.0,0.0,7.0,306043.2528089888,801265.6216241454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103351486,55,181,147,4,6424,1,False,False,False,-0.18283483104116324,0.11302272085483055,-0.5288303130148271,-0.17635914896425153,-0.17635914896425153,-0.17635914896425153,0.5354200988467874,0.007806532663316581,0.24790132202584025,-0.8832,0.0,0.0,0.0,0.8188,0.2024921419806313,0.11748529523331433,-0.5607521847690387,0.225195057119538,0.225195057119538,0.225195057119538,0.6701388888888891,0.033341708542713566,0.100927635938112,0.0,0.0,0.0,0.0,0.5820000000000001,0.9321256281407037,0.14217445286320576,0.353,1.0,1.0,1.0,1.0,0.034537688442211056,0.09177028488878687,0.0,0.0,0.0,0.0,0.42700000000000005,0.2467063986318809,0.12865164111051164,-0.3803596127247579,0.2765623492982514,0.2765623492982514,0.2765623492982514,0.739972337482711,0.0,0.0,0.0,0.0,134.0,62612.4595959596,73677.01733423097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199973582,2,1503,1565,23,77207,1,True,False,False,-0.2556689814681637,0.10201426778909396,-0.4848099544402633,-0.317432726171472,-0.259663408787393,-0.19850460944204834,0.1454228995169602,0.4996054999999995,0.3994209218151552,-0.7213,0.0,0.6476,0.8283,0.9256,0.21746413939225032,0.1164188844490456,-0.3600340855794457,0.175061138896063,0.219949724028408,0.28618273709048103,0.4311942044394337,0.01921,0.05722375986832146,0.0,0.0,0.0,0.0,0.28600000000000003,0.7461050000000001,0.15987376922255608,0.361,0.608,0.742,0.795,1.0,0.2346850000000003,0.16271251515461166,0.0,0.1175,0.222,0.392,0.528,0.44455941156153495,0.15106757801350693,-0.22085563561074872,0.3606286780710224,0.4695037810944736,0.5508054463121124,0.7553391322981658,0.0,0.0,0.0,0.0,21.0,5310.854271356784,26303.22765114978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22942001,414,6569,673,96,4256,1,False,False,False,-0.24623538145126864,0.15566333936151486,-0.6705107084019769,-0.3498361770954025,-0.2585371749098431,-0.1651247000803393,0.5584843492586491,0.2773497382198952,0.3895718472853238,-0.7612,0.0,0.3182,0.5921000000000001,0.9042,0.2521388530891505,0.1736939559470006,-0.3570332687338502,0.17310384182330985,0.2814166325310785,0.36715137389549946,0.7604166666666667,0.025151832460732985,0.05651327728757469,0.0,0.0,0.0,0.0,0.28600000000000003,0.8306649214659689,0.14379115987346694,0.47600000000000003,0.7204999999999999,0.852,1.0,1.0,0.14417801047120427,0.14472863805000874,0.0,0.0,0.127,0.2605,0.524,0.25543721048725604,0.2029071413121594,-0.6874135546334716,0.16989957409333356,0.2848357450924175,0.3840696161560167,0.9529737206085752,0.0,0.0,0.0,0.0,3.0,22054.331578947367,41409.607022380085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338914454,443,17,70,2,1174,1,False,False,False,-0.16322160811312655,0.15771763005862338,-0.5671772582284691,-0.21911037891268534,-0.17635914896425153,-0.09977286684928288,0.5123558484349258,0.04307999999999999,0.2781820119252749,-0.7941,0.0,0.0,0.0,0.8012,0.20902359674848156,0.190887626251024,-0.5868055555555556,0.19718947977582854,0.225195057119538,0.30550894854586097,0.6874999999999998,0.024640000000000002,0.07830118631856399,0.0,0.0,0.0,0.0,0.41,0.92942,0.13096450706413842,0.369,1.0,1.0,1.0,1.0,0.045944999999999986,0.10975611142426124,0.0,0.0,0.0,0.0,0.462,0.29315880161145597,0.2434419409395947,-0.8174273858921162,0.2573843852008708,0.2765623492982514,0.4003068164343478,0.839557399723375,0.0,0.0,0.0,0.0,70.0,30043.507537688438,51262.68719527977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139758430,2088,585,1224,68,4190,1,True,False,False,-0.1224624005166194,0.20652503617569826,-0.5156507413509062,-0.28149556137551923,-0.1529629062293979,0.00793223202176463,0.4695222405271826,0.14340000000000006,0.3926276005554735,-0.8957,0.0,0.0,0.492925,0.9345,0.18541761868886492,0.1875697417505897,-0.53125,0.07678447262234467,0.20973725603231164,0.3068100230329693,0.6115999977800952,0.043469387755102035,0.09443746584656268,0.0,0.0,0.0,0.0,0.643,0.8555051020408165,0.15636425250361796,0.35700000000000004,0.7609999999999999,0.863,1.0,1.0,0.10101530612244901,0.12740029694611027,0.0,0.0,0.0,0.18425,0.58,0.28169223652478864,0.2226794259495218,-0.5048409405255879,0.17180541676914296,0.3122028548644903,0.4359345514018237,0.7192033341104159,0.0,0.0,0.0,0.0,4.0,7003.0205128205125,96680.09254411189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2174620748,2,654,1993,9,477,1,True,False,False,-0.18060803132113126,0.16425548442624496,-0.5617792421746293,-0.27596315646508085,-0.17635914896425153,-0.12289952910947145,0.4102141680395388,0.2500787564766839,0.3247026369017437,-0.5994,0.0,0.14400000000000002,0.5719,0.9239,0.2989777513541673,0.15977539855352935,-0.3034749243406831,0.21157046276508606,0.28043425110960674,0.3993055555555556,0.8159722222222221,0.02297409326424871,0.07227792390266034,0.0,0.0,0.0,0.0,0.474,0.8130725388601034,0.18680542161308225,0.204,0.674,0.833,1.0,1.0,0.1639585492227979,0.17883543512463534,0.0,0.0,0.125,0.306,0.7959999999999999,0.3386623748665171,0.17966979842007166,-0.41444255889257375,0.2664478353473674,0.3458777596862579,0.4520970180327639,0.7759336099585061,0.0,0.0,0.0,0.0,19.0,337854.30729166674,2631270.332243821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3264569385,1264,24,311,1,1267,1,True,False,False,-0.1393634314324954,0.1646785272676317,-0.5957584961550639,-0.2273740054624298,-0.1474107455977004,-0.02849484765043558,0.273169229032846,0.19952640449438205,0.3446734067511775,-0.5267,0.0,0.0,0.48100000000000004,0.8402,0.22095881590488028,0.19763545575134686,-0.5993366711925776,0.1318889358033335,0.225195057119538,0.3291104563304745,0.7430555555555556,0.015786516853932585,0.04706071854112582,0.0,0.0,0.0,0.0,0.21600000000000003,0.8759662921348316,0.12949523468650506,0.44799999999999995,0.7865,0.888,1.0,1.0,0.1082359550561798,0.13262274114303238,0.0,0.0,0.0,0.2015,0.552,0.3409487244368913,0.1748183211782158,-0.5689064615874809,0.21344374839402214,0.35898488963609443,0.4811158080412144,0.6984785615491012,0.0,0.0,0.0,0.0,4.0,574.9209039548023,882.8784423839453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
